type	d1	d1sub	act	hedge	c	conf	note
german	NA	-	NA	NA	C1	H	Identity marking 明示。Freq_Ref = 0（组内唯一 +0.5 平滑例），LR 9.902 为全研究最高
english	NA	-	NA	NA	PENDING	-	手册明列：指语言系统（correct English）→C1；作文体修饰→NA。本组共现语境使 C1 先验极高，但仍依规则待查
SPEAKER	NA	-	NA	NA	C1	H	手册 Identity marking 词族例明列 speaker；German speakers / native speakers 两读法均属 C1
ARTICLE	PENDING	-	NA	NA	NA	-	维度一待定：英语冠词(G2-Grammar)vs 引用的文章(G1-Development)
order	PENDING	-	NA	NA	NA	-	维度一待定：word order（G2-Grammar，德语语序迁移的典型项）vs "in order to"（NA）
transfer	NA	-	NA	NA	C1	H	手册 Transfer framing 词族例明列 transfer
false	NA	-	NA	NA	PENDING	-	维度三待定：false friends（跨语言词汇概念，C1）vs false dichotomy（逻辑谬误，G1-Ideas）。与 friends 的 Freq/Range 近乎同步，见报告 §3.2
style	PENDING	-	NA	NA	NA	-	维度一待定（手册列 tone/register 为 PENDING）
moment	NA	-	NA	NA	NA	M	元话语现状框架（at the moment），与组 1 currently、组 5 current 同构
common	NA	-	NA	NA	NA	M	常见性标记（a common error）＝正常化框架；属手册排除的 paired acts 类，不入 M1
argumentation	G1	Ideas	NA	NA	NA	H	Ideas 明示
patterns	PENDING	-	NA	NA	NA	-	维度一待定：error patterns(G2)vs sentence patterns(G2-Local)vs 论证模式(G1)
speaking	NA	-	NA	NA	PENDING	-	维度三待定：German-speaking / German speakers（C1）vs generally speaking（NA）
INFLUENCE	PENDING	-	NA	NA	PENDING	-	维度三待定：the influence of German on your English（Transfer framing，C1）vs influence the reader（G1）
basis	PENDING	-	NA	NA	NA	-	维度一待定：the basis of your claim(G1-Ideas)vs on a …basis（NA）
watch	NA	-	A3	NA	NA	M	watch for / watch out for＝注意指令，属建议行为
usage	G2	Correctness	NA	NA	NA	M	article usage / comma usage，语言使用规范层
likely	NA	-	NA	M1	NA	H	认识型 hedge，与手册 probably/possibly 同类
REQUIRE	NA	-	PENDING	NA	NA	-	act 层待定：this requires a comma（补救指令 A3）vs German requires…（描述，且可能属 C1 共现语境）
natural	PENDING	-	PENDING	NA	PENDING	-	三层皆待定：sounds natural 是否以母语者语感为隐含标准（C1）；同组 2 口径
commas	G2	Mechanics	NA	NA	NA	H	Mechanics 明示
structure	G1	Global Structure	NA	NA	NA	H	手册边界规则明示：structure 主导义为篇章结构，归 G1
often	NA	-	NA	M1	NA	H	手册 v3 M1 明示 hedge
clauses	G2	Local Structure	NA	NA	NA	H	手册 Local Structure 词族例明列 clause
few	NA	-	NA	PENDING	NA	-	hedge 层待定：a few errors 最小化降调（M1）vs 单纯量词（NA）；同组 1 just、组 2 only
writer	NA	-	NA	NA	NA	M	第三人称指称写作者（the writer），与 your 的第二人称形成对照，值得单独记录
direct	PENDING	-	NA	NA	PENDING	-	维度三待定（先验较低）：German writing is direct（文化—语用框架，C1）vs be more direct(G2)/direct quotation(NA)
noun	G2	Grammar	NA	NA	NA	H	Correctness/Grammar 明示；德语名词大写为典型迁移项
friends	NA	-	NA	NA	PENDING	-	维度三待定：false friends（C1）vs 议题内容残留（friends and family）。参照侧 Freq 20 提示存在非 C1 基线用法
steps	NA	-	NA	NA	NA	M	元话语（next steps）
phrasing	G2	Wording	NA	NA	NA	H	Wording 明示
