query_word	match_form	corpus	groups	layers	merge_expanded	doc_id	filename	token_pos	left	node	right
ARTICLE	articles	Chinese	3	维度一	YES	0	ICLE-US-IND-0001.1	397	oil residue findings etc Citing at least outside sources news	articles	court records environmental studies would significantly strengthen your credibility Emotional
ARTICLE	Article	Chinese	3	维度一	YES	0	ICLE-US-IND-0001.1	545	ordinary citizens must hold large corporations accountable for environmental harm	Article	usage ran aground the Exxon should be the Exxon Valdez
ARTICLE	Article	Chinese	3	维度一	YES	1	ICLE-US-IND-0002.1	395	Mechanics Here are recurring issues to review with corrected examples	Article	possessive errors societies rules society s rules Spelling catigory category
ARTICLE	article	Chinese	3	维度一	YES	1	ICLE-US-IND-0002.1	678	counterargument for balance Proofread carefully for spelling verb tense and	article	usage Your instinct to use a real personal example is
ARTICLE	Article	Chinese	3	维度一	YES	3	ICLE-US-IND-0004.1	474	Grammar Issues A few recurring errors to address in revision	Article	usage how do we compare raising a family to the
ARTICLE	articles	Chinese	3	维度一	YES	3	ICLE-US-IND-0004.1	495	job of an neurosurgeon should be a neurosurgeon Since English	articles	a an the don t have direct equivalents in Chinese
ARTICLE	articles	Chinese	3	维度一	YES	3	ICLE-US-IND-0004.1	751	address its limitations especially for single homemakers Proofread carefully for	articles	a an the and subject verb agreement You have a
ARTICLE	Article	Chinese	3	维度一	YES	4	ICLE-US-IND-0005.1	572	money was choose either where or in which not both	Article	omissions It is not subtle argument It is not a
ARTICLE	Article	Chinese	3	维度一	YES	5	ICLE-US-IND-0006.1	481	Preposition errors learned primarily form the family from the family	Article	usage Chinese does not require articles the way English does
ARTICLE	articles	Chinese	3	维度一	YES	5	ICLE-US-IND-0006.1	487	family from the family Article usage Chinese does not require	articles	the way English does so double check phrases like a
ARTICLE	articles	Chinese	3	维度一	YES	5	ICLE-US-IND-0006.1	507	a mother nurtures her helpless infant correct versus places where	articles	are missing eg There are several problems with this notion
ARTICLE	articles	Chinese	3	维度一	YES	5	ICLE-US-IND-0006.1	724	especially in the individualism and relativism paragraphs Proofread carefully for	articles	prepositions and stray typos You have the makings of a
ARTICLE	Article	Chinese	3	维度一	YES	6	ICLE-US-IND-0007.1	602	earning potential needs a much larger gain Spelling equiptment equipment	Article	number agreement no taxes is fine but check phrases like
ARTICLE	Article	Chinese	3	维度一	YES	8	ICLE-US-IND-0009.1	514	formal constructions like This suggests that or Evidence indicates that	Article	and preposition usage As is common for Chinese speaking writers
ARTICLE	articles	Chinese	3	维度一	YES	8	ICLE-US-IND-0009.1	532	Chinese speaking writers of English watch for missing or misused	articles	For example Behavior that is not reinforced in some way
ARTICLE	article	Chinese	3	维度一	YES	8	ICLE-US-IND-0009.1	736	brief counterargument for balance Smooth transitions between paragraphs Proofread for	article	preposition precision and sentence length Overall this is a promising
ARTICLE	Articles	Chinese	3	维度一	YES	10	ICLE-US-IND-0011.1	486	sentence structures but here are some recurring issues to address	Articles	and prepositions In the s in American in America A
ARTICLE	articles	Chinese	3	维度一	YES	10	ICLE-US-IND-0011.1	700	can help you catch subject verb agreement errors and missing	articles	Strengthen your conclusion by explicitly returning to your central claim
ARTICLE	Article	Chinese	3	维度一	YES	11	ICLE-US-IND-0012.1	532	money if it were not why would people commit it	Article	usage Common ESL issue check phrases like convicted killers autobiographies
ARTICLE	articles	Chinese	3	维度一	YES	11	ICLE-US-IND-0012.1	549	like convicted killers autobiographies missing apostrophe killers and consider whether	articles	like the are needed before certain nouns eg the historical
ARTICLE	Article	Chinese	3	维度一	YES	14	ICLE-US-IND-0015.1	624	endless list is singular so it should be is endless	Article	usage in structure of a greedy persons life needs an
ARTICLE	article	Chinese	3	维度一	YES	14	ICLE-US-IND-0015.1	635	usage in structure of a greedy persons life needs an	article	in the structure of a greedy person s life Chinese
ARTICLE	articles	Chinese	3	维度一	YES	14	ICLE-US-IND-0015.1	649	of a greedy person s life Chinese does not require	articles	the way English does so this is a common area
ARTICLE	Article	Chinese	3	维度一	YES	18	ICLE-US-IND-0019.1	529	to court Try breaking these into two sentences for clarity	Article	usage Chinese does not have articles a an the so
ARTICLE	articles	Chinese	3	维度一	YES	18	ICLE-US-IND-0019.1	535	two sentences for clarity Article usage Chinese does not have	articles	a an the so this is often tricky Example I
ARTICLE	article	Chinese	3	维度一	YES	18	ICLE-US-IND-0019.1	591	recover consider whether the police or our belongings needs an	article	adjustment for precision Style Suggestions The repetition of crime doesn
ARTICLE	Article	Chinese	3	维度一	YES	19	ICLE-US-IND-0020.1	597	I do not mean should begin with a capital B	Article	errors A women is just as much a citizen A
ARTICLE	articles	Chinese	3	维度一	YES	19	ICLE-US-IND-0020.1	728	conclusion with a forward looking claim Proofread carefully for capitalization	articles	and comma splices You have a compelling argument buried in
ARTICLE	Article	Chinese	3	维度一	YES	28	ICLE-US-MICH-0002.1	509	corporations Company name typo auto pasts company auto parts company	Article	usage put all of their inventory on computer onto a
ARTICLE	articles	Chinese	3	维度一	YES	28	ICLE-US-MICH-0002.1	531	computer or into a computer system Chinese does not use	articles	the same way English does so pay special attention to
