group	contrast	target_corpus	ref_corpus	rank	type	freq_tar	freq_ref	range_tar	range_ref	ll	lr	d1	d1sub	act	hedge	c	conf	note
1	L1 vs Generic	L1	Generic	1	CLAIM	1663	1211	≥332	≥287	60.215	0.419	G1	Ideas	NA	NA	NA	H	论断/主张名词，Ideas 明示；本身中性，act 层不赋值
1	L1 vs Generic	L1	Generic	2	rather	833	545	295	243	53.374	0.574	NA	-	NA	PENDING	NA	-	"M1待定：手册列为 hedge，但""rather than""（建议对比框架）可能占主导"
1	L1 vs Generic	L1	Generic	3	correctness	60	6	54	6	49.868	3.284	G2	Correctness	NA	NA	NA	H	直接命名 Correctness 焦点
1	L1 vs Generic	L1	Generic	4	aim	92	24	89	24	40.757	1.900	G1	Ideas	PENDING	NA	NA	-	"act 层待定：""aim to/for""（A3）vs ""your aim""（名词，NA）"
1	L1 vs Generic	L1	Generic	5	paper	216	100	105	68	40.595	1.073	NA	-	NA	NA	NA	H	文本指称语，不指示层级
1	L1 vs Generic	L1	Generic	6	SHARPEN	138	52	≥94	≥37	38.143	1.370	G1	Ideas	A3	NA	NA	M	主导搭配 sharpen your claim/thesis/argument
1	L1 vs Generic	L1	Generic	7	mechanical	77	21	63	20	32.556	1.836	G2	Mechanics	NA	NA	NA	H	mechanical errors
1	L1 vs Generic	L1	Generic	8	instance	202	100	184	98	32.502	0.976	NA	-	NA	NA	NA	M	"主导为""for instance""元话语（反馈自身举例，非要求学生举例）"
1	L1 vs Generic	L1	Generic	9	level	298	179	232	145	26.954	0.697	PENDING	-	NA	NA	NA	-	维度一待定：sentence-level(G2)/paragraph-level(G1)/level of detail(G1-Dev)
1	L1 vs Generic	L1	Generic	10	edit	122	53	109	53	26.167	1.165	PENDING	-	A3	NA	NA	-	维度一待定：表层编辑(G2)vs全局修改(G1)
1	L1 vs Generic	L1	Generic	11	would	786	582	298	255	25.427	0.395	NA	-	PENDING	PENDING	NA	-	手册指定共享项，concordance 抽 50 行判 A3/M1
1	L1 vs Generic	L1	Generic	12	reasoning	281	169	168	116	25.299	0.695	G1	Ideas	NA	NA	NA	H	Ideas 定义明示 lines of thought and reasoning
