word	layer	group	target_corpus
background	维度一	2	Generic
background	维度三	2	Generic
chinese	C1 子类判定	3	Chinese
chinese	C1 子类判定	5	Chinese
cultural	维度三	1	L1
direct	维度一	6	German
direct	维度三	6	German
direct	维度一	7	German
direct	维度三	7	German
direct	维度一	10	Generic
direct	维度三	10	Generic
english	维度三	2	Generic
english	维度三	3	Chinese
english	维度三	6	German
english	维度三	7	German
english	维度三	10	Generic
false	维度三	6	German
false	维度三	7	German
friends	维度三	6	German
friends	维度三	7	German
INFLUENCE	维度一	6	German
INFLUENCE	维度三	6	German
influenced	维度一	7	German
influenced	维度三	7	German
language	维度一	2	Generic
language	维度三	2	Generic
language	维度一	3	Chinese
language	维度三	3	Chinese
language	维度一	7	German
language	维度三	7	German
language	维度一	10	Generic
language	维度三	10	Generic
natural	维度一	2	Generic
natural	act 层	2	Generic
natural	维度三	2	Generic
natural	维度一	6	German
natural	act 层	6	German
natural	维度三	6	German
natural	维度一	7	German
natural	act 层	7	German
natural	维度三	7	German
natural	维度一	10	Generic
natural	act 层	10	Generic
natural	维度三	10	Generic
speaking	维度三	6	German
speaking	维度三	7	German
tackles	act 层	9	Baseline
unnatural	维度一	7	German
unnatural	act 层	7	German
unnatural	维度三	7	German
address	维度一	1	L1
address	act 层	1	L1
address	维度一	8	Generic
address	act 层	8	Generic
address	维度一	9	Baseline
address	act 层	9	Baseline
can	act 层	2	Generic
can	hedge 层	2	Generic
can	act 层	5	Chinese
can	hedge 层	5	Chinese
CLEAR	维度一	2	Generic
CLEAR	act 层	2	Generic
CLEAR	维度一	10	Generic
CLEAR	act 层	10	Generic
could	act 层	2	Generic
could	hedge 层	2	Generic
could	act 层	4	Generic
could	hedge 层	4	Generic
could	act 层	6	German
could	hedge 层	6	German
GOOD	act 层	2	Generic
good	act 层	8	Generic
GOOD	act 层	10	Generic
might	act 层	1	L1
might	hedge 层	1	L1
might	act 层	9	Baseline
might	hedge 层	9	Baseline
STRENGTH	act 层	2	Generic
