word	corpus	hit_id	词义	判定	判据	信度
STRENGTHEN	L1	59	加强	A3	"strengthen it you"	H
STRENGTHEN	L1	400	加强	A3	"strengthen the Personal"	H
STRENGTHEN	L1	528	加强	A3	"strengthen your argument"	H
STRENGTHEN	L1	718	加强	A3	"strengthen your position"	H
STRENGTHEN	L1	454	加强	A3	"strengthen your argument"	H
STRENGTHEN	L1	541	加强	A3	"strengthen your credibility"	H
STRENGTHEN	L1	790	加强	A3	"strengthen paragraph transitions"	H
STRENGTHEN	L1	61	加强	A3	"strengthen the essay"	H
STRENGTHEN	L1	391	加强	A3	"strengthen it Even"	H
STRENGTHEN	L1	67	加强	A3	"strengthen the logical"	H
STRENGTHEN	L1	750	加强	A3	"strengthen the connection"	H
STRENGTHEN	L1	78	加强	A3	"strengthen the piece"	H
STRENGTHEN	L1	277	加强	A3	"strengthen your argument"	H
STRENGTHEN	L1	257	加强	A3	"strengthen your credibility"	H
STRENGTHEN	L1	610	加强	A3	"strengthen it As"	H
STRENGTHEN	L1	67	加强	A3	"strengthen for your"	H
STRENGTHEN	L1	462	加强	A3	"strengthen your credibility"	H
STRENGTHEN	L1	98	加强	A3	"strengthen your evidence"	H
STRENGTHEN	L1	492	加强	A3	"strengthen your credibility"	H
STRENGTHEN	L1	382	加强	A3	"strengthen rather than"	H
STRENGTHEN	L1	197	加强	A3	"strengthen the Logical"	H
STRENGTHEN	L1	51	加强	A3	"strengthen it for"	H
STRENGTHEN	L1	42	加强	A3	"strengthen the essay"	H
STRENGTHEN	L1	356	加强	A3	"strengthen your evidence"	H
STRENGTHEN	L1	749	加强	A3	"strengthen topic sentences"	H
STRENGTHEN	L1	347	加强	A3	"strengthen your argument"	H
STRENGTHEN	L1	547	加强	A3	"strengthen the Conclusion"	H
STRENGTHEN	L1	152	加强	A3	"strengthen your argument"	H
STRENGTHEN	L1	423	加强	A3	"strengthen your examples"	H
STRENGTHEN	L1	700	加强	A3	"strengthen the essay"	H
STRENGTHEN	L1	554	加强	A3	"strengthen your historical"	H
STRENGTHEN	L1	52	加强	A3	"strengthen the logic"	H
STRENGTHEN	L1	731	加强	A3	"strengthen the distinction"	H
STRENGTHEN	L1	259	加强	A3	"strengthen the Logical"	H
STRENGTHEN	L1	497	加强	A3	"strengthen your credibility"	H
STRENGTHEN	L1	431	加强	A3	"strengthen the causal"	H
STRENGTHEN	L1	496	加强	A3	"strengthen your position"	H
